External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 18:28:59
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
161	632.5	1.620	2	2.659561E-001	1.82	7.139829E-009	0.27	3.691619E-002	0.25
162	635.0	1.560	0	2.761181E-001	1.82	7.394133E-009	0.27	3.814345E-002	0.25
163	635.0	1.560	1	2.762667E-001	1.82	7.397128E-009	0.27	3.815048E-002	0.25
164	635.0	1.560	2	2.762291E-001	1.82	7.399555E-009	0.27	3.817137E-002	0.25
165	637.5	1.500	0	2.822545E-001	1.82	7.525998E-009	0.27	3.874299E-002	0.25
166	637.5	1.500	1	2.823211E-001	1.82	7.529666E-009	0.27	3.875516E-002	0.25
167	637.5	1.500	2	2.822997E-001	1.82	7.533334E-009	0.27	3.878667E-002	0.25
168	640.0	1.440	0	2.875467E-001	1.82	7.644251E-009	0.27	3.929270E-002	0.25
169	640.0	1.440	1	2.875329E-001	1.82	7.645128E-009	0.27	3.929646E-002	0.25
170	640.0	1.440	2	2.876434E-001	1.82	7.649998E-009	0.27	3.931029E-002	0.25
171	642.5	1.380	0	2.962587E-001	1.82	7.856740E-009	0.27	4.030074E-002	0.25
172	642.5	1.380	1	2.962592E-001	1.82	7.858380E-009	0.27	4.030442E-002	0.25
173	642.5	1.380	2	2.962816E-001	1.82	7.859530E-009	0.27	4.031923E-002	0.25
174	645.0	1.320	0	3.122403E-001	1.82	8.254381E-009	0.27	4.227523E-002	0.25
175	645.0	1.320	1	3.122175E-001	1.82	8.252394E-009	0.27	4.228627E-002	0.25
176	645.0	1.320	2	3.123132E-001	1.82	8.254535E-009	0.27	4.228529E-002	0.25
177	647.5	1.260	0	3.326462E-001	1.82	8.769368E-009	0.27	4.480109E-002	0.25
178	647.5	1.260	1	3.326462E-001	1.82	8.762743E-009	0.27	4.477157E-002	0.25
179	647.5	1.260	2	3.325205E-001	1.82	8.758272E-009	0.27	4.474749E-002	0.25
180	650.0	1.200	0	3.532370E-001	1.82	9.252759E-009	0.27	4.716040E-002	0.25
181	650.0	1.200	1	3.532446E-001	1.82	9.253241E-009	0.27	4.716040E-002	0.25
182	650.0	1.200	2	3.533637E-001	1.82	9.259142E-009	0.27	4.718447E-002	0.25
183	652.5	1.140	0	3.686560E-001	1.82	9.609083E-009	0.27	4.884438E-002	0.25
184	652.5	1.140	1	3.685445E-001	1.82	9.604937E-009	0.27	4.883144E-002	0.25
185	652.5	1.140	2	3.686046E-001	1.82	9.607569E-009	0.27	4.884455E-002	0.25
186	655.0	1.080	0	3.807648E-001	1.82	9.879657E-009	0.27	5.009162E-002	0.25
187	655.0	1.080	1	3.807134E-001	1.82	9.881171E-009	0.27	5.009066E-002	0.25
188	655.0	1.080	2	3.807572E-001	1.82	9.886041E-009	0.27	5.013227E-002	0.25
189	657.5	1.020	0	3.882474E-001	1.82	1.006919E-008	0.27	5.091240E-002	0.25
190	657.5	1.020	1	3.882926E-001	1.82	1.006734E-008	0.27	5.090856E-002	0.25
191	657.5	1.020	2	3.882398E-001	1.82	1.006583E-008	0.27	5.090488E-002	0.25
192	660.0	0.960	0	3.946286E-001	1.82	1.023160E-008	0.27	5.162386E-002	0.25
193	660.0	0.960	1	3.947619E-001	1.82	1.022937E-008	0.27	5.161273E-002	0.25
194	660.0	0.960	2	3.947253E-001	1.82	1.022625E-008	0.27	5.159322E-002	0.25
195	662.5	0.900	0	3.966931E-001	1.82	1.027187E-008	0.27	5.175234E-002	0.25
