External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:49:36
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.4989
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
94	577.5	2.684	1	2.631023E-001	1.81	6.958789E-009	0.26	4.617072E-002	0.25
95	577.5	2.684	2	2.630732E-001	1.81	6.957214E-009	0.26	4.616879E-002	0.25
96	580.0	2.664	0	2.691728E-001	1.81	7.138124E-009	0.26	4.727257E-002	0.25
97	580.0	2.664	1	2.692465E-001	1.81	7.137888E-009	0.26	4.726520E-002	0.25
98	580.0	2.664	2	2.691873E-001	1.81	7.140289E-009	0.26	4.726334E-002	0.25
99	582.5	2.642	0	2.720589E-001	1.81	7.241346E-009	0.26	4.777773E-002	0.25
100	582.5	2.642	1	2.719997E-001	1.81	7.239182E-009	0.26	4.777315E-002	0.25
101	582.5	2.642	2	2.720141E-001	1.81	7.235440E-009	0.26	4.776107E-002	0.25
102	585.0	2.616	0	2.821846E-001	1.81	7.541600E-009	0.26	4.955877E-002	0.25
103	585.0	2.616	1	2.821846E-001	1.81	7.543829E-009	0.26	4.956344E-002	0.25
104	585.0	2.616	2	2.821846E-001	1.81	7.541192E-009	0.26	4.955222E-002	0.25
105	587.5	2.588	0	3.348846E-001	1.81	9.110911E-009	0.26	5.924292E-002	0.25
106	587.5	2.588	1	3.350913E-001	1.81	9.116892E-009	0.26	5.925022E-002	0.25
107	587.5	2.588	2	3.350913E-001	1.81	9.117525E-009	0.26	5.924935E-002	0.25
108	590.0	2.556	0	3.495996E-001	1.81	9.545094E-009	0.26	6.183804E-002	0.25
109	590.0	2.556	1	3.496589E-001	1.81	9.549243E-009	0.26	6.186122E-002	0.25
110	590.0	2.556	2	3.495996E-001	1.81	9.547721E-009	0.26	6.184173E-002	0.25
111	592.5	2.522	0	3.073206E-001	1.81	8.214548E-009	0.26	5.376198E-002	0.25
112	592.5	2.522	1	3.069954E-001	1.81	8.208160E-009	0.26	5.374900E-002	0.25
113	592.5	2.522	2	3.070098E-001	1.81	8.207045E-009	0.26	5.375268E-002	0.25
114	595.0	2.484	0	2.953149E-001	1.81	7.857347E-009	0.26	5.154239E-002	0.25
115	595.0	2.484	1	2.952701E-001	1.81	7.855825E-009	0.26	5.152763E-002	0.25
116	595.0	2.484	2	2.952411E-001	1.81	7.854239E-009	0.26	5.152019E-002	0.25
117	597.5	2.444	0	3.044190E-001	1.81	8.088357E-009	0.26	5.301633E-002	0.25
118	597.5	2.444	1	3.045520E-001	1.81	8.091466E-009	0.26	5.301995E-002	0.25
119	597.5	2.444	2	3.045520E-001	1.81	8.093385E-009	0.26	5.304401E-002	0.25
120	600.0	2.400	0	3.325159E-001	1.81	8.821902E-009	0.26	5.775242E-002	0.25
121	600.0	2.400	1	3.325752E-001	1.81	8.820381E-009	0.26	5.773848E-002	0.25
122	600.0	2.400	2	3.326199E-001	1.81	8.821666E-009	0.26	5.772556E-002	0.25
123	602.5	2.352	0	3.643137E-001	1.81	9.648550E-009	0.26	6.307414E-002	0.25
124	602.5	2.352	1	3.642992E-001	1.81	9.648724E-009	0.26	6.305474E-002	0.25
125	602.5	2.352	2	3.643295E-001	1.81	9.653355E-009	0.26	6.307694E-002	0.25
126	605.0	2.299	0	3.913891E-001	1.81	1.036562E-008	0.26	6.757831E-002	0.25
127	605.0	2.299	1	3.913746E-001	1.81	1.036491E-008	0.26	6.756155E-002	0.25
128	605.0	2.299	2	3.913154E-001	1.81	1.036444E-008	0.26	6.755336E-002	0.25
129	607.5	2.242	0	4.101742E-001	1.81	1.087017E-008	0.26	7.063516E-002	0.25
130	607.5	2.242	1	4.103072E-001	1.81	1.087151E-008	0.26	7.065641E-002	0.25
131	607.5	2.242	2	4.102334E-001	1.81	1.087033E-008	0.26	7.062959E-002	0.25
132	610.0	2.182	0	4.263102E-001	1.81	1.128481E-008	0.26	7.318311E-002	0.25
133	610.0	2.182	1	4.261324E-001	1.81	1.127959E-008	0.26	7.315075E-002	0.25
134	610.0	2.182	2	4.261772E-001	1.81	1.127492E-008	0.26	7.315811E-002	0.25
135	612.5	2.119	0	4.407592E-001	1.81	1.163482E-008	0.26	7.545084E-002	0.25
136	612.5	2.119	1	4.407448E-001	1.81	1.163301E-008	0.26	7.542120E-002	0.25
137	612.5	2.119	2	4.406845E-001	1.81	1.163101E-008	0.26	7.541290E-002	0.25
138	615.0	2.054	0	4.545111E-001	1.81	1.195514E-008	0.26	7.751038E-002	0.25
139	615.0	2.054	1	4.545111E-001	1.81	1.195688E-008	0.26	7.751214E-002	0.25
140	615.0	2.054	2	4.543189E-001	1.81	1.195135E-008	0.26	7.748900E-002	0.25
141	617.5	1.989	0	4.647263E-001	1.81	1.219975E-008	0.26	7.893417E-002	0.25
142	617.5	1.989	1	4.646222E-001	1.81	1.219775E-008	0.26	7.893330E-002	0.25
143	617.5	1.989	2	4.645629E-001	1.81	1.219775E-008	0.26	7.891193E-002	0.25
144	620.0	1.925	0	4.732970E-001	1.81	1.242258E-008	0.26	8.000273E-002	0.25
145	620.0	1.925	1	4.732378E-001	1.81	1.242020E-008	0.26	8.000097E-002	0.25
146	620.0	1.925	2	4.733115E-001	1.81	1.242289E-008	0.26	8.002679E-002	0.25
147	622.5	1.861	0	4.791296E-001	1.81	1.258384E-008	0.26	8.072810E-002	0.25
148	622.5	1.861	1	4.792626E-001	1.81	1.258542E-008	0.26	8.070962E-002	0.25
149	622.5	1.861	2	4.792770E-001	1.81	1.258907E-008	0.26	8.075227E-002	0.25
150	625.0	1.800	0	4.922744E-001	1.81	1.292365E-008	0.26	8.263215E-002	0.25
151	625.0	1.800	1	4.921414E-001	1.81	1.291873E-008	0.26	8.263225E-002	0.25
152	625.0	1.800	2	4.923337E-001	1.81	1.292436E-008	0.26	8.265071E-002	0.25
153	627.5	1.740	0	5.143176E-001	1.81	1.346839E-008	0.26	8.605179E-002	0.25
154	627.5	1.740	1	5.144058E-001	1.81	1.346886E-008	0.26	8.606663E-002	0.25
155	627.5	1.740	2	5.144361E-001	1.81	1.347100E-008	0.26	8.606473E-002	0.25
156	630.0	1.680	0	5.374424E-001	1.81	1.402761E-008	0.26	8.959903E-002	0.25
157	630.0	1.680	1	5.374424E-001	1.81	1.402691E-008	0.26	8.959157E-002	0.25
158	630.0	1.680	2	5.373977E-001	1.81	1.402294E-008	0.26	8.959343E-002	0.25
159	632.5	1.620	0	5.578706E-001	1.81	1.452235E-008	0.26	9.268001E-002	0.25
160	632.5	1.620	1	5.579443E-001	1.81	1.452228E-008	0.26	9.270958E-002	0.25
161	632.5	1.620	2	5.579298E-001	1.81	1.452338E-008	0.26	9.271695E-002	0.25
162	635.0	1.560	0	5.690024E-001	1.81	1.478111E-008	0.26	9.414174E-002	0.25
163	635.0	1.560	1	5.687812E-001	1.81	1.477746E-008	0.26	9.408249E-002	0.25
164	635.0	1.560	2	5.689142E-001	1.81	1.478198E-008	0.26	9.412700E-002	0.25
165	637.5	1.500	0	5.697434E-001	1.81	1.478167E-008	0.26	9.385867E-002	0.25
166	637.5	1.500	1	5.694317E-001	1.81	1.477636E-008	0.26	9.382715E-002	0.25
167	637.5	1.500	2	5.695512E-001	1.81	1.478064E-008	0.26	9.387166E-002	0.25
