External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 13 July 2022 18:20:18
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.02
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.019
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.0171
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
122	600.0	2.400	2	2.945640E-001	1.59	8.002825E-009	0.18	4.100576E-002	0.17
123	602.5	2.352	0	3.252084E-001	1.59	8.838103E-009	0.18	4.520764E-002	0.17
124	602.5	2.352	1	3.251469E-001	1.59	8.834133E-009	0.19	4.519641E-002	0.17
125	602.5	2.352	2	3.252694E-001	1.59	8.838271E-009	0.18	4.519510E-002	0.17
126	605.0	2.299	0	3.516384E-001	1.59	9.547704E-009	0.18	4.881869E-002	0.17
127	605.0	2.299	1	3.515784E-001	1.59	9.548766E-009	0.18	4.882627E-002	0.17
128	605.0	2.299	2	3.516379E-001	1.59	9.550948E-009	0.18	4.883002E-002	0.17
129	607.5	2.242	0	3.705928E-001	1.59	1.003947E-008	0.19	5.137947E-002	0.17
130	607.5	2.242	1	3.707129E-001	1.59	1.004076E-008	0.18	5.136065E-002	0.17
131	607.5	2.242	2	3.706524E-001	1.59	1.004020E-008	0.18	5.135186E-002	0.17
132	610.0	2.182	0	3.861582E-001	1.59	1.045295E-008	0.18	5.338704E-002	0.17
133	610.0	2.182	1	3.861273E-001	1.59	1.045101E-008	0.18	5.341952E-002	0.17
134	610.0	2.182	2	3.861273E-001	1.59	1.045080E-008	0.19	5.341905E-002	0.17
135	612.5	2.119	0	3.997704E-001	1.59	1.083304E-008	0.19	5.513981E-002	0.17
136	612.5	2.119	1	3.998014E-001	1.59	1.082971E-008	0.19	5.513429E-002	0.17
137	612.5	2.119	2	3.998929E-001	1.59	1.083624E-008	0.19	5.516303E-002	0.17
138	615.0	2.054	0	4.136886E-001	1.59	1.121841E-008	0.19	5.686198E-002	0.17
139	615.0	2.054	1	4.136276E-001	1.59	1.121664E-008	0.19	5.684120E-002	0.17
140	615.0	2.054	2	4.136276E-001	1.59	1.121461E-008	0.19	5.682304E-002	0.17
141	617.5	1.989	0	4.244311E-001	1.59	1.149786E-008	0.19	5.818538E-002	0.17
142	617.5	1.989	1	4.244331E-001	1.59	1.150150E-008	0.19	5.819661E-002	0.17
143	617.5	1.989	2	4.244321E-001	1.59	1.150200E-008	0.19	5.818033E-002	0.17
144	620.0	1.925	0	4.307803E-001	1.59	1.165494E-008	0.18	5.901314E-002	0.17
145	620.0	1.925	1	4.308413E-001	1.59	1.165544E-008	0.19	5.900630E-002	0.17
146	620.0	1.925	2	4.308422E-001	1.59	1.165185E-008	0.18	5.900611E-002	0.17
147	622.5	1.861	0	4.356627E-001	1.59	1.176796E-008	0.19	5.963281E-002	0.17
148	622.5	1.861	1	4.357246E-001	1.59	1.177062E-008	0.19	5.962953E-002	0.17
149	622.5	1.861	2	4.357246E-001	1.59	1.177198E-008	0.18	5.964713E-002	0.17
150	625.0	1.800	0	4.444535E-001	1.59	1.199129E-008	0.19	6.068513E-002	0.17
151	625.0	1.800	1	4.445164E-001	1.59	1.198918E-008	0.19	6.065687E-002	0.17
152	625.0	1.800	2	4.445154E-001	1.59	1.199289E-008	0.19	6.068186E-002	0.17
153	627.5	1.740	0	4.630119E-001	1.59	1.246565E-008	0.19	6.293777E-002	0.17
154	627.5	1.740	1	4.628899E-001	1.59	1.246340E-008	0.19	6.296977E-002	0.17
155	627.5	1.740	2	4.628880E-001	1.59	1.246477E-008	0.19	6.297426E-002	0.17
156	630.0	1.680	0	4.827883E-001	1.59	1.298101E-008	0.19	6.541590E-002	0.17
157	630.0	1.680	1	4.827293E-001	1.59	1.298223E-008	0.19	6.541412E-002	0.17
158	630.0	1.680	2	4.827883E-001	1.59	1.298421E-008	0.18	6.542339E-002	0.17
159	632.5	1.620	0	5.003700E-001	1.59	1.345853E-008	0.19	6.757577E-002	0.17
160	632.5	1.620	1	5.002490E-001	1.59	1.345102E-008	0.19	6.754947E-002	0.17
161	632.5	1.620	2	5.001880E-001	1.59	1.345102E-008	0.19	6.754637E-002	0.17
162	635.0	1.560	0	5.095887E-001	1.59	1.370136E-008	0.19	6.864700E-002	0.17
163	635.0	1.560	1	5.096478E-001	1.59	1.370184E-008	0.19	6.861677E-002	0.17
164	635.0	1.560	2	5.097698E-001	1.59	1.370399E-008	0.18	6.862565E-002	0.17
165	637.5	1.500	0	5.089168E-001	1.59	1.366771E-008	0.19	6.836666E-002	0.17
166	637.5	1.500	1	5.089778E-001	1.59	1.367159E-008	0.19	6.838228E-002	0.17
167	637.5	1.500	2	5.089178E-001	1.59	1.366611E-008	0.19	6.837366E-002	0.17
168	640.0	1.440	0	5.073882E-001	1.59	1.359192E-008	0.18	6.797266E-002	0.17
169	640.0	1.440	1	5.073291E-001	1.59	1.359104E-008	0.18	6.797640E-002	0.17
170	640.0	1.440	2	5.073291E-001	1.59	1.359348E-008	0.19	6.797772E-002	0.17
171	642.5	1.380	0	5.059862E-001	1.59	1.353178E-008	0.19	6.752186E-002	0.17
172	642.5	1.380	1	5.061082E-001	1.59	1.352967E-008	0.19	6.751877E-002	0.17
173	642.5	1.380	2	5.062302E-001	1.59	1.353443E-008	0.19	6.753000E-002	0.17
174	645.0	1.320	0	5.155690E-001	1.59	1.377945E-008	0.19	6.853523E-002	0.17
175	645.0	1.320	1	5.155099E-001	1.59	1.377945E-008	0.19	6.850583E-002	0.17
176	645.0	1.320	2	5.155099E-001	1.59	1.377648E-008	0.19	6.854730E-002	0.17
177	647.5	1.260	0	5.352863E-001	1.59	1.430812E-008	0.19	7.096683E-002	0.17
178	647.5	1.260	1	5.353483E-001	1.59	1.430707E-008	0.19	7.098256E-002	0.17
179	647.5	1.260	2	5.354083E-001	1.59	1.430989E-008	0.19	7.099313E-002	0.17
180	650.0	1.200	0	5.593991E-001	1.59	1.493406E-008	0.18	7.399584E-002	0.17
181	650.0	1.200	1	5.595210E-001	1.59	1.493561E-008	0.19	7.398217E-002	0.17
182	650.0	1.200	2	5.595820E-001	1.59	1.493980E-008	0.19	7.400099E-002	0.17
183	652.5	1.140	0	5.791754E-001	1.59	1.541290E-008	0.19	7.644120E-002	0.17
184	652.5	1.140	1	5.792384E-001	1.59	1.541622E-008	0.19	7.644608E-002	0.17
185	652.5	1.140	2	5.792974E-001	1.59	1.542218E-008	0.19	7.647499E-002	0.17
186	655.0	1.080	0	5.919347E-001	1.59	1.570526E-008	0.19	7.797756E-002	0.17
187	655.0	1.080	1	5.918737E-001	1.59	1.569632E-008	0.19	7.797455E-002	0.17
188	655.0	1.080	2	5.918127E-001	1.59	1.569720E-008	0.19	7.796885E-002	0.17
189	657.5	1.020	0	6.037771E-001	1.59	1.597190E-008	0.19	7.930911E-002	0.17
190	657.5	1.020	1	6.038991E-001	1.59	1.597699E-008	0.19	7.933053E-002	0.17
191	657.5	1.020	2	6.037771E-001	1.59	1.597780E-008	0.19	7.932239E-002	0.17
192	660.0	0.960	0	6.158015E-001	1.59	1.624802E-008	0.18	8.044118E-002	0.17
193	660.0	0.960	1	6.159855E-001	1.59	1.625066E-008	0.18	8.044118E-002	0.17
194	660.0	0.960	2	6.158006E-001	1.59	1.624348E-008	0.18	8.043593E-002	0.17
195	662.5	0.900	0	6.252013E-001	1.59	1.647326E-008	0.18	8.122877E-002	0.17
