External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:15:39
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corrloopback'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	200 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	5 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	5 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
2721	8	507.5	2.479	0	5.464309E-002	1.81	9.589811E-010	0.26	5.714782E-003	0.25
2722	8	507.5	2.479	1	5.463984E-002	1.81	9.585250E-010	0.26	5.716853E-003	0.25
2723	8	507.5	2.479	2	5.470234E-002	1.81	9.590993E-010	0.26	5.719431E-003	0.25
2724	8	510.0	2.472	0	7.273324E-002	1.81	1.336690E-009	0.26	8.045833E-003	0.25
2725	8	510.0	2.472	1	7.278888E-002	1.81	1.336888E-009	0.26	8.051378E-003	0.25
2726	8	510.0	2.472	2	7.282370E-002	1.81	1.337183E-009	0.26	8.043293E-003	0.25
2727	8	512.5	2.456	0	9.511753E-002	1.81	1.823553E-009	0.26	1.105232E-002	0.25
2728	8	512.5	2.456	1	9.543221E-002	1.81	1.829556E-009	0.26	1.108309E-002	0.25
2729	8	512.5	2.456	2	9.538460E-002	1.81	1.827652E-009	0.26	1.108467E-002	0.25
2730	8	515.0	2.436	0	1.261311E-001	1.81	2.512950E-009	0.26	1.530871E-002	0.25
2731	8	515.0	2.436	1	1.261789E-001	1.81	2.513349E-009	0.26	1.530570E-002	0.25
2732	8	515.0	2.436	2	1.261698E-001	1.81	2.515555E-009	0.26	1.533295E-002	0.25
2733	8	517.5	2.416	0	1.682118E-001	1.81	3.471607E-009	0.26	2.127837E-002	0.25
2734	8	517.5	2.416	1	1.682118E-001	1.81	3.471996E-009	0.26	2.128808E-002	0.25
2735	8	517.5	2.416	2	1.682783E-001	1.81	3.470756E-009	0.26	2.127662E-002	0.25
2736	8	520.0	2.400	0	2.297051E-001	1.81	4.905480E-009	0.26	3.020566E-002	0.25
2737	8	520.0	2.400	1	2.298984E-001	1.81	4.914177E-009	0.26	3.024641E-002	0.25
2738	8	520.0	2.400	2	2.298911E-001	1.81	4.914297E-009	0.26	3.024688E-002	0.25
2739	8	522.5	2.393	0	3.274246E-001	1.81	7.231859E-009	0.26	4.461899E-002	0.25
2740	8	522.5	2.393	1	3.274972E-001	1.81	7.233357E-009	0.26	4.465059E-002	0.25
2741	8	522.5	2.393	2	3.275275E-001	1.81	7.235050E-009	0.26	4.465795E-002	0.25
2742	8	525.0	2.400	0	4.380945E-001	1.81	9.934345E-009	0.26	6.161412E-002	0.25
2743	8	525.0	2.400	1	4.380195E-001	1.81	9.925897E-009	0.26	6.161505E-002	0.25
2744	8	525.0	2.400	2	4.378417E-001	1.81	9.924442E-009	0.26	6.161710E-002	0.25
2745	8	527.5	2.419	0	4.861325E-001	1.81	1.125371E-008	0.26	7.020949E-002	0.25
2746	8	527.5	2.419	1	4.863536E-001	1.81	1.125760E-008	0.26	7.019386E-002	0.25
2747	8	527.5	2.419	2	4.863233E-001	1.81	1.125910E-008	0.26	7.025768E-002	0.25
2748	8	530.0	2.446	0	4.403593E-001	1.81	1.033688E-008	0.26	6.483880E-002	0.25
2749	8	530.0	2.446	1	4.403897E-001	1.81	1.033887E-008	0.26	6.482572E-002	0.25
2750	8	530.0	2.446	2	4.404186E-001	1.81	1.033670E-008	0.26	6.482308E-002	0.25
2751	8	532.5	2.477	0	3.545581E-001	1.81	8.417144E-009	0.26	5.317466E-002	0.25
2752	8	532.5	2.477	1	3.546174E-001	1.81	8.418364E-009	0.26	5.316703E-002	0.25
2753	8	532.5	2.477	2	3.546174E-001	1.81	8.417078E-009	0.26	5.314577E-002	0.25
2754	8	535.0	2.513	0	2.770329E-001	1.81	6.641719E-009	0.26	4.219039E-002	0.25
2755	8	535.0	2.513	1	2.767972E-001	1.81	6.639263E-009	0.26	4.217841E-002	0.25
2756	8	535.0	2.513	2	2.768696E-001	1.81	6.640850E-009	0.26	4.219225E-002	0.25
2757	8	537.5	2.550	0	2.334808E-001	1.81	5.672769E-009	0.26	3.621915E-002	0.25
2758	8	537.5	2.550	1	2.334808E-001	1.81	5.673412E-009	0.26	3.621915E-002	0.25
2759	8	537.5	2.550	2	2.334215E-001	1.81	5.669027E-009	0.26	3.617484E-002	0.25
2760	8	540.0	2.587	0	2.215488E-001	1.81	5.462103E-009	0.26	3.495720E-002	0.25
2761	8	540.0	2.587	1	2.215488E-001	1.81	5.463218E-009	0.26	3.498221E-002	0.25
2762	8	540.0	2.587	2	2.214895E-001	1.81	5.460109E-009	0.26	3.495539E-002	0.25
2763	8	542.5	2.623	0	2.309189E-001	1.81	5.788830E-009	0.26	3.709445E-002	0.25
2764	8	542.5	2.623	1	2.311559E-001	1.81	5.792582E-009	0.26	3.709626E-002	0.25
2765	8	542.5	2.623	2	2.310822E-001	1.81	5.792346E-009	0.26	3.707406E-002	0.25
2766	8	545.0	2.654	0	2.580835E-001	1.81	6.608041E-009	0.26	4.224964E-002	0.25
2767	8	545.0	2.654	1	2.580545E-001	1.81	6.608621E-009	0.26	4.226440E-002	0.25
2768	8	545.0	2.654	2	2.580690E-001	1.81	6.606863E-009	0.26	4.225793E-002	0.25
2769	8	547.5	2.681	0	2.564987E-001	1.81	6.639092E-009	0.26	4.249486E-002	0.25
2770	8	547.5	2.681	1	2.562327E-001	1.81	6.632468E-009	0.26	4.246984E-002	0.25
2771	8	547.5	2.681	2	2.564987E-001	1.81	6.641322E-009	0.26	4.252629E-002	0.25
2772	8	550.0	2.700	0	2.198900E-001	1.81	5.636219E-009	0.26	3.646164E-002	0.25
2773	8	550.0	2.700	1	2.197872E-001	1.81	5.634407E-009	0.26	3.646998E-002	0.25
2774	8	550.0	2.700	2	2.198017E-001	1.81	5.638146E-009	0.26	3.651060E-002	0.25
2775	8	552.5	2.714	0	2.028365E-001	1.81	5.170865E-009	0.26	3.377291E-002	0.25
2776	8	552.5	2.714	1	2.026442E-001	1.81	5.169107E-009	0.26	3.375726E-002	0.25
2777	8	552.5	2.714	2	2.025257E-001	1.81	5.164015E-009	0.26	3.373685E-002	0.25
2778	8	555.0	2.724	0	1.976120E-001	1.81	5.039808E-009	0.26	3.310860E-002	0.25
2779	8	555.0	2.724	1	1.974333E-001	1.81	5.038531E-009	0.26	3.310960E-002	0.25
2780	8	555.0	2.724	2	1.974188E-001	1.81	5.038295E-009	0.26	3.309480E-002	0.25
2781	8	557.5	2.732	0	1.945919E-001	1.81	4.980940E-009	0.26	3.282742E-002	0.25
2782	8	557.5	2.732	1	1.945326E-001	1.81	4.980061E-009	0.26	3.281078E-002	0.25
2783	8	557.5	2.732	2	1.945326E-001	1.81	4.979589E-009	0.26	3.281165E-002	0.25
2784	8	560.0	2.736	0	1.899432E-001	1.81	4.884739E-009	0.26	3.224545E-002	0.25
2785	8	560.0	2.736	1	1.901802E-001	1.81	4.889359E-009	0.26	3.225287E-002	0.25
2786	8	560.0	2.736	2	1.901210E-001	1.81	4.889359E-009	0.26	3.226858E-002	0.25
2787	8	562.5	2.738	0	1.878854E-001	1.81	4.852510E-009	0.26	3.206123E-002	0.25
2788	8	562.5	2.738	1	1.878854E-001	1.81	4.852349E-009	0.26	3.205471E-002	0.25
2789	8	562.5	2.738	2	1.878854E-001	1.81	4.851640E-009	0.26	3.205102E-002	0.25
2790	8	565.0	2.736	0	1.968117E-001	1.81	5.096520E-009	0.26	3.372026E-002	0.25
2791	8	565.0	2.736	1	1.967525E-001	1.81	5.093250E-009	0.26	3.368601E-002	0.25
2792	8	565.0	2.736	2	1.967525E-001	1.81	5.094998E-009	0.26	3.370081E-002	0.25
2793	8	567.5	2.732	0	2.152123E-001	1.81	5.587179E-009	0.26	3.698617E-002	0.25
2794	8	567.5	2.732	1	2.152268E-001	1.81	5.586773E-009	0.26	3.698623E-002	0.25
2795	8	567.5	2.732	2	2.152715E-001	1.81	5.586064E-009	0.26	3.698161E-002	0.25
2796	8	570.0	2.724	0	2.327990E-001	1.81	6.060849E-009	0.26	4.012173E-002	0.25
2797	8	570.0	2.724	1	2.327990E-001	1.81	6.059327E-009	0.26	4.009210E-002	0.25
2798	8	570.0	2.724	2	2.327990E-001	1.81	6.060849E-009	0.26	4.012260E-002	0.25
2799	8	572.5	2.714	0	2.448047E-001	1.81	6.386936E-009	0.26	4.226998E-002	0.25
2800	8	572.5	2.714	1	2.449087E-001	1.81	6.387986E-009	0.26	4.226534E-002	0.25
2801	8	572.5	2.714	2	2.448047E-001	1.81	6.386700E-009	0.26	4.227645E-002	0.25
2802	8	575.0	2.700	0	2.546187E-001	1.81	6.649930E-009	0.26	4.404454E-002	0.25
2803	8	575.0	2.700	1	2.547372E-001	1.81	6.650337E-009	0.26	4.403992E-002	0.25
2804	8	575.0	2.700	2	2.549304E-001	1.81	6.654967E-009	0.26	4.405750E-002	0.25
2805	8	577.5	2.684	0	2.639026E-001	1.81	6.896983E-009	0.26	4.565718E-002	0.25
2806	8	577.5	2.684	1	2.638433E-001	1.81	6.897862E-009	0.26	4.566917E-002	0.25
2807	8	577.5	2.684	2	2.639026E-001	1.81	6.895869E-009	0.26	4.566824E-002	0.25
2808	8	580.0	2.664	0	2.701643E-001	1.81	7.077832E-009	0.26	4.679326E-002	0.25
2809	8	580.0	2.664	1	2.701788E-001	1.81	7.079889E-009	0.26	4.679981E-002	0.25
2810	8	580.0	2.664	2	2.701788E-001	1.81	7.079418E-009	0.26	4.678871E-002	0.25
2811	8	582.5	2.642	0	2.728882E-001	1.81	7.172744E-009	0.26	4.729939E-002	0.25
2812	8	582.5	2.642	1	2.728882E-001	1.81	7.172744E-009	0.26	4.728841E-002	0.25
2813	8	582.5	2.642	2	2.729474E-001	1.81	7.172744E-009	0.26	4.728465E-002	0.25
2814	8	585.0	2.616	0	2.830721E-001	1.81	7.471885E-009	0.26	4.907951E-002	0.25
2815	8	585.0	2.616	1	2.829391E-001	1.81	7.468841E-009	0.26	4.905642E-002	0.25
2816	8	585.0	2.616	2	2.829246E-001	1.81	7.471478E-009	0.26	4.908230E-002	0.25
2817	8	587.5	2.588	0	3.355360E-001	1.81	9.023963E-009	0.26	5.865159E-002	0.25
2818	8	587.5	2.588	1	3.358468E-001	1.81	9.026426E-009	0.26	5.864247E-002	0.25
2819	8	587.5	2.588	2	3.359653E-001	1.81	9.029063E-009	0.26	5.866280E-002	0.25
2820	8	590.0	2.556	0	3.508269E-001	1.81	9.467233E-009	0.26	6.133103E-002	0.25
2821	8	590.0	2.556	1	3.507387E-001	1.81	9.465240E-009	0.26	6.131443E-002	0.25
2822	8	590.0	2.556	2	3.508572E-001	1.81	9.466526E-009	0.26	6.133567E-002	0.25
2823	8	592.5	2.522	0	3.080159E-001	1.81	8.135166E-009	0.26	5.330487E-002	0.25
2824	8	592.5	2.522	1	3.079566E-001	1.81	8.134458E-009	0.26	5.330487E-002	0.25
2825	8	592.5	2.522	2	3.081199E-001	1.81	8.135744E-009	0.26	5.332060E-002	0.25
2826	8	595.0	2.484	0	2.961889E-001	1.81	7.783881E-009	0.26	5.111403E-002	0.25
2827	8	595.0	2.484	1	2.962482E-001	1.81	7.784353E-009	0.26	5.110013E-002	0.25
2828	8	595.0	2.484	2	2.961889E-001	1.81	7.782766E-009	0.26	5.111035E-002	0.25
2829	8	597.5	2.444	0	3.053220E-001	1.81	8.013605E-009	0.26	5.257314E-002	0.25
2830	8	597.5	2.444	1	3.052628E-001	1.81	8.013842E-009	0.26	5.256852E-002	0.25
2831	8	597.5	2.444	2	3.052930E-001	1.81	8.014419E-009	0.26	5.258142E-002	0.25
2832	8	600.0	2.400	0	3.332560E-001	1.81	8.734085E-009	0.26	5.723883E-002	0.25
2833	8	600.0	2.400	1	3.332560E-001	1.81	8.730977E-009	0.26	5.721111E-002	0.25
2834	8	600.0	2.400	2	3.333152E-001	1.81	8.733442E-009	0.26	5.723146E-002	0.25
2835	8	602.5	2.352	0	3.652316E-001	1.81	9.559041E-009	0.26	6.255054E-002	0.25
2836	8	602.5	2.352	1	3.650683E-001	1.81	9.554109E-009	0.26	6.253102E-002	0.25
2837	8	602.5	2.352	2	3.652316E-001	1.81	9.558332E-009	0.26	6.254768E-002	0.25
2838	8	605.0	2.299	0	3.924399E-001	1.81	1.027003E-008	0.26	6.701474E-002	0.25
2839	8	605.0	2.299	1	3.924255E-001	1.81	1.026716E-008	0.26	6.699622E-002	0.25
2840	8	605.0	2.299	2	3.925147E-001	1.81	1.027266E-008	0.26	6.702775E-002	0.25
2841	8	607.5	2.242	0	4.114182E-001	1.81	1.076934E-008	0.26	7.006250E-002	0.25
2842	8	607.5	2.242	1	4.115960E-001	1.81	1.077126E-008	0.26	7.008835E-002	0.25
2843	8	607.5	2.242	2	4.116697E-001	1.81	1.077378E-008	0.26	7.010593E-002	0.25
2844	8	610.0	2.182	0	4.274949E-001	1.81	1.118384E-008	0.26	7.262620E-002	0.25
2845	8	610.0	2.182	1	4.273027E-001	1.81	1.117695E-008	0.26	7.256696E-002	0.25
2846	8	610.0	2.182	2	4.273764E-001	1.81	1.117791E-008	0.26	7.259746E-002	0.25
2847	8	612.5	2.119	0	4.420023E-001	1.81	1.153130E-008	0.26	7.483649E-002	0.25
2848	8	612.5	2.119	1	4.419575E-001	1.81	1.153083E-008	0.26	7.485590E-002	0.25
2849	8	612.5	2.119	2	4.421353E-001	1.81	1.153178E-008	0.26	7.482819E-002	0.25
2850	8	615.0	2.054	0	4.556511E-001	1.81	1.184705E-008	0.26	7.685809E-002	0.25
2851	8	615.0	2.054	1	4.556511E-001	1.81	1.184878E-008	0.26	7.687388E-002	0.25
2852	8	615.0	2.054	2	4.557696E-001	1.81	1.184895E-008	0.26	7.687366E-002	0.25
2853	8	617.5	1.989	0	4.658214E-001	1.81	1.208879E-008	0.26	7.827733E-002	0.25
2854	8	617.5	1.989	1	4.658214E-001	1.81	1.208855E-008	0.26	7.826532E-002	0.25
2855	8	617.5	1.989	2	4.658807E-001	1.81	1.208966E-008	0.26	7.828102E-002	0.25
2856	8	620.0	1.925	0	4.742583E-001	1.81	1.230719E-008	0.26	7.936721E-002	0.25
2857	8	620.0	1.925	1	4.742438E-001	1.81	1.230950E-008	0.26	7.937843E-002	0.25
2858	8	620.0	1.925	2	4.742583E-001	1.81	1.231060E-008	0.26	7.939777E-002	0.25
2859	8	622.5	1.861	0	4.804618E-001	1.81	1.247711E-008	0.26	8.004725E-002	0.25
2860	8	622.5	1.861	1	4.804026E-001	1.81	1.247504E-008	0.26	8.001942E-002	0.25
2861	8	622.5	1.861	2	4.803433E-001	1.81	1.247401E-008	0.26	8.002328E-002	0.25
2862	8	625.0	1.800	0	4.932814E-001	1.81	1.280359E-008	0.26	8.187545E-002	0.25
2863	8	625.0	1.800	1	4.933999E-001	1.81	1.280519E-008	0.26	8.186620E-002	0.25
2864	8	625.0	1.800	2	4.934737E-001	1.81	1.280606E-008	0.26	8.188830E-002	0.25
2865	8	627.5	1.740	0	5.156956E-001	1.81	1.335033E-008	0.26	8.525978E-002	0.25
2866	8	627.5	1.740	1	5.156363E-001	1.81	1.335064E-008	0.26	8.523946E-002	0.25
2867	8	627.5	1.740	2	5.155915E-001	1.81	1.335183E-008	0.26	8.526529E-002	0.25
2868	8	630.0	1.680	0	5.388332E-001	1.81	1.390844E-008	0.26	8.877189E-002	0.25
2869	8	630.0	1.680	1	5.386554E-001	1.81	1.390305E-008	0.26	8.871639E-002	0.25
2870	8	630.0	1.680	2	5.385672E-001	1.81	1.389848E-008	0.26	8.872923E-002	0.25
2871	8	632.5	1.620	0	5.591291E-001	1.81	1.439368E-008	0.26	9.176767E-002	0.25
2872	8	632.5	1.620	1	5.590698E-001	1.81	1.438821E-008	0.26	9.173624E-002	0.25
2873	8	632.5	1.620	2	5.593213E-001	1.81	1.439629E-008	0.26	9.174932E-002	0.25
2874	8	635.0	1.560	0	5.703649E-001	1.81	1.465815E-008	0.26	9.320356E-002	0.25
2875	8	635.0	1.560	1	5.701424E-001	1.81	1.465165E-008	0.26	9.313707E-002	0.25
2876	8	635.0	1.560	2	5.700990E-001	1.81	1.465087E-008	0.26	9.317575E-002	0.25
2877	8	637.5	1.500	0	5.708535E-001	1.81	1.465632E-008	0.26	9.287786E-002	0.25
2878	8	637.5	1.500	1	5.709865E-001	1.81	1.466194E-008	0.26	9.288160E-002	0.25
2879	8	637.5	1.500	2	5.709417E-001	1.81	1.466217E-008	0.26	9.291128E-002	0.25
2880	8	640.0	1.440	0	5.693724E-001	1.81	1.459951E-008	0.26	9.222845E-002	0.25
2881	8	640.0	1.440	1	5.693580E-001	1.81	1.459831E-008	0.26	9.219153E-002	0.25
2882	8	640.0	1.440	2	5.693724E-001	1.81	1.459681E-008	0.26	9.220439E-002	0.25
2883	8	642.5	1.380	0	5.713117E-001	1.81	1.460804E-008	0.26	9.208412E-002	0.25
2884	8	642.5	1.380	1	5.712235E-001	1.81	1.460804E-008	0.26	9.206939E-002	0.25
2885	8	642.5	1.380	2	5.711932E-001	1.81	1.461343E-008	0.26	9.213053E-002	0.25
2886	8	645.0	1.320	0	5.851976E-001	1.81	1.491271E-008	0.26	9.388276E-002	0.25
2887	8	645.0	1.320	1	5.852120E-001	1.81	1.491492E-008	0.26	9.387355E-002	0.25
2888	8	645.0	1.320	2	5.850501E-001	1.81	1.490836E-008	0.26	9.385120E-002	0.25
2889	8	647.5	1.260	0	6.072407E-001	1.81	1.542438E-008	0.26	9.683601E-002	0.25
2890	8	647.5	1.260	1	6.071815E-001	1.81	1.542186E-008	0.26	9.685635E-002	0.25
2891	8	647.5	1.260	2	6.072855E-001	1.81	1.542549E-008	0.26	9.684888E-002	0.25
2892	8	650.0	1.200	0	6.312367E-001	1.81	1.599406E-008	0.26	1.000372E-001	0.25
2893	8	650.0	1.200	1	6.311326E-001	1.81	1.598433E-008	0.26	1.000761E-001	0.25
2894	8	650.0	1.200	2	6.312367E-001	1.81	1.598386E-008	0.26	1.001000E-001	0.25
2895	8	652.5	1.140	0	6.492673E-001	1.81	1.643703E-008	0.26	1.023448E-001	0.25
2896	8	652.5	1.140	1	6.492081E-001	1.81	1.643435E-008	0.26	1.024075E-001	0.25
2897	8	652.5	1.140	2	6.492818E-001	1.81	1.643798E-008	0.26	1.023983E-001	0.25
2898	8	655.0	1.080	0	6.588889E-001	1.81	1.669342E-008	0.26	1.034488E-001	0.25
2899	8	655.0	1.080	1	6.588296E-001	1.81	1.669342E-008	0.26	1.034086E-001	0.25
2900	8	655.0	1.080	2	6.588744E-001	1.81	1.669233E-008	0.26	1.034193E-001	0.25
2901	8	657.5	1.020	0	6.672385E-001	1.81	1.689815E-008	0.26	1.042763E-001	0.25
2902	8	657.5	1.020	1	6.672674E-001	1.81	1.689720E-008	0.26	1.043378E-001	0.25
2903	8	657.5	1.020	2	6.673714E-001	1.81	1.690115E-008	0.26	1.043043E-001	0.25
2904	8	660.0	0.960	0	6.739147E-001	1.81	1.702831E-008	0.26	1.048756E-001	0.25
2905	8	660.0	0.960	1	6.738555E-001	1.81	1.702831E-008	0.26	1.048819E-001	0.25
2906	8	660.0	0.960	2	6.739595E-001	1.81	1.703132E-008	0.26	1.049059E-001	0.25
2907	8	662.5	0.900	0	6.789783E-001	1.81	1.709004E-008	0.26	1.051593E-001	0.25
2908	8	662.5	0.900	1	6.788598E-001	1.81	1.709036E-008	0.26	1.051977E-001	0.25
2909	8	662.5	0.900	2	6.788743E-001	1.81	1.708529E-008	0.26	1.051475E-001	0.25
2910	8	665.0	0.840	0	6.860838E-001	1.81	1.718594E-008	0.26	1.056360E-001	0.25
2911	8	665.0	0.840	1	6.862024E-001	1.81	1.719101E-008	0.26	1.056740E-001	0.25
2912	8	665.0	0.840	2	6.862024E-001	1.81	1.719021E-008	0.26	1.056490E-001	0.25
2913	8	667.5	0.780	0	6.888803E-001	1.81	1.718500E-008	0.26	1.053521E-001	0.25
2914	8	667.5	0.780	1	6.889699E-001	1.81	1.718786E-008	0.26	1.054157E-001	0.25
2915	8	667.5	0.780	2	6.888803E-001	1.81	1.718627E-008	0.26	1.053963E-001	0.25
2916	8	670.0	0.720	0	6.992879E-001	1.81	1.740909E-008	0.26	1.061676E-001	0.25
2917	8	670.0	0.720	1	6.993917E-001	1.81	1.741299E-008	0.26	1.062235E-001	0.25
2918	8	670.0	0.720	2	6.994657E-001	1.81	1.741567E-008	0.26	1.062449E-001	0.25
2919	8	672.5	0.660	0	7.132183E-001	1.81	1.775357E-008	0.26	1.075586E-001	0.25
2920	8	672.5	0.660	1	7.130998E-001	1.81	1.775198E-008	0.26	1.075295E-001	0.25
2921	8	672.5	0.660	2	7.132776E-001	1.81	1.775667E-008	0.26	1.075966E-001	0.25
2922	8	675.0	0.600	0	7.308645E-001	1.81	1.819663E-008	0.26	1.094747E-001	0.25
2923	8	675.0	0.600	1	7.307604E-001	1.81	1.819174E-008	0.26	1.094579E-001	0.25
2924	8	675.0	0.600	2	7.307604E-001	1.81	1.819147E-008	0.26	1.093489E-001	0.25
2925	8	677.5	0.539	0	7.513519E-001	1.81	1.868995E-008	0.26	1.117444E-001	0.25
2926	8	677.5	0.539	1	7.513071E-001	1.81	1.869047E-008	0.26	1.117262E-001	0.25
2927	8	677.5	0.539	2	7.512044E-001	1.81	1.868638E-008	0.26	1.117462E-001	0.25
2928	8	680.0	0.475	0	7.661710E-001	1.81	1.902973E-008	0.26	1.133155E-001	0.25
2929	8	680.0	0.475	1	7.663040E-001	1.81	1.903274E-008	0.26	1.134617E-001	0.25
2930	8	680.0	0.475	2	7.662303E-001	1.81	1.902800E-008	0.26	1.133065E-001	0.25
2931	8	682.5	0.411	0	7.717215E-001	1.81	1.911012E-008	0.26	1.132486E-001	0.25
2932	8	682.5	0.411	1	7.717070E-001	1.81	1.910965E-008	0.26	1.132292E-001	0.25
2933	8	682.5	0.411	2	7.717952E-001	1.81	1.911392E-008	0.26	1.133303E-001	0.25
2934	8	685.0	0.346	0	7.719585E-001	1.81	1.906635E-008	0.26	1.124389E-001	0.25
2935	8	685.0	0.346	1	7.720323E-001	1.81	1.906851E-008	0.26	1.126031E-001	0.25
2936	8	685.0	0.346	2	7.720033E-001	1.81	1.906978E-008	0.26	1.125271E-001	0.25
2937	8	687.5	0.281	0	7.553331E-001	1.81	1.862860E-008	0.26	1.093264E-001	0.25
2938	8	687.5	0.281	1	7.552001E-001	1.81	1.862907E-008	0.26	1.092288E-001	0.25
2939	8	687.5	0.281	2	7.552739E-001	1.81	1.862997E-008	0.26	1.093685E-001	0.25
2940	8	690.0	0.218	0	7.325364E-001	1.81	1.806882E-008	0.26	1.052550E-001	0.25
2941	8	690.0	0.218	1	7.327590E-001	1.81	1.807620E-008	0.26	1.053900E-001	0.25
2942	8	690.0	0.218	2	7.325812E-001	1.81	1.807009E-008	0.26	1.052630E-001	0.25
2943	8	692.5	0.158	0	7.319442E-001	1.81	1.806646E-008	0.26	1.044799E-001	0.25
2944	8	692.5	0.158	1	7.319442E-001	1.81	1.806962E-008	0.26	1.044699E-001	0.25
2945	8	692.5	0.158	2	7.320035E-001	1.81	1.806994E-008	0.26	1.044923E-001	0.25
2946	8	695.0	0.101	0	7.606482E-001	1.81	1.879534E-008	0.26	1.081100E-001	0.25
2947	8	695.0	0.101	1	7.606627E-001	1.81	1.879676E-008	0.26	1.079945E-001	0.25
2948	8	695.0	0.101	2	7.606482E-001	1.81	1.879360E-008	0.26	1.080046E-001	0.25
2949	8	697.5	0.048	0	8.012682E-001	1.81	1.979565E-008	0.26	1.132101E-001	0.25
2950	8	697.5	0.048	1	8.013578E-001	1.81	1.979533E-008	0.26	1.131462E-001	0.25
2951	8	697.5	0.048	2	8.013722E-001	1.81	1.979612E-008	0.26	1.131844E-001	0.25
2952	8	700.0	0.000	0	8.295588E-001	1.81	2.046591E-008	0.26	1.166044E-001	0.25
2953	8	700.0	0.000	1	8.295140E-001	1.81	2.045965E-008	0.26	1.165927E-001	0.25
2954	8	700.0	0.000	2	8.295284E-001	1.81	2.046201E-008	0.26	1.165828E-001	0.25
2955	8	702.5	-0.042	0	8.459014E-001	1.81	2.081185E-008	0.26	1.181382E-001	0.25
2956	8	702.5	-0.042	1	8.459305E-001	1.81	2.081275E-008	0.26	1.183070E-001	0.25
2957	8	702.5	-0.042	2	8.457528E-001	1.81	2.080664E-008	0.26	1.180966E-001	0.25
2958	8	705.0	-0.079	0	8.504909E-001	1.81	2.087588E-008	0.26	1.183041E-001	0.25
2959	8	705.0	-0.079	1	8.505501E-001	1.81	2.087620E-008	0.26	1.183791E-001	0.25
2960	8	705.0	-0.079	2	8.504909E-001	1.81	2.087057E-008	0.26	1.181935E-001	0.25
2961	8	707.5	-0.112	0	8.480028E-001	1.81	2.077792E-008	0.26	1.171085E-001	0.25
2962	8	707.5	-0.112	1	8.480476E-001	1.81	2.078012E-008	0.26	1.171076E-001	0.25
2963	8	707.5	-0.112	2	8.479883E-001	1.81	2.078323E-008	0.26	1.172143E-001	0.25
2964	8	710.0	-0.142	0	8.321777E-001	1.81	2.040719E-008	0.26	1.143910E-001	0.25
2965	8	710.0	-0.142	1	8.320736E-001	1.81	2.040551E-008	0.26	1.142739E-001	0.25
2966	8	710.0	-0.142	2	8.323564E-001	1.81	2.041082E-008	0.26	1.143599E-001	0.25
2967	8	712.5	-0.169	0	8.023781E-001	1.81	1.971462E-008	0.26	1.095888E-001	0.25
2968	8	712.5	-0.169	1	8.022162E-001	1.81	1.971414E-008	0.26	1.095341E-001	0.25
2969	8	712.5	-0.169	2	8.022465E-001	1.81	1.971146E-008	0.26	1.095300E-001	0.25
2970	8	715.0	-0.194	0	7.622464E-001	1.81	1.878355E-008	0.26	1.034976E-001	0.25
